year,month,transportation_type,day_count,total_ridership,total_miles,emission,average_price,bus,rail
2017,1,all bus,31,22171342,91829069,59046091.367,2.8608,1,0
2017,1,rail,31,9618184,60360690,22031651.849999998,2.8608,0,1
2017,2,all bus,28,21604148,88971760,57208841.68,2.9885,1,0
2017,2,rail,28,8724128,54558747,19913942.655,2.9885,0,1
2017,3,all bus,31,25794248,105735588,67987983.084,3.03575,1,0
2017,3,rail,31,9878705,61765320,22544341.8,3.03575,0,1
2017,4,all bus,30,23611510,97413240,62636713.32,3.0385,1,0
2017,4,rail,30,9048825,56581776,20652348.24,3.0385,0,1
2017,5,all bus,31,25086327,102948303,66195758.829,3.056,1,0
2017,5,rail,31,9542813,59650773,21772532.145,3.056,0,1
2017,6,all bus,30,23716670,98511426,63342846.918000005,2.9899999999999998,1,0
2017,6,rail,30,9540438,59673331,21780765.814999998,2.9899999999999998,0,1
2017,7,all bus,31,22942241,96646951,62143989.493,2.9356,1,0
2017,7,rail,31,9312002,59749765,21808664.224999998,2.9356,0,1
2017,8,all bus,31,24861705,103145826,66322766.118,3.039,1,0
2017,8,rail,31,9869414,63192363,23065212.495,3.039,0,1
2017,9,all bus,30,24113300,99076625,63706269.875,3.1705,1,0
2017,9,rail,30,9122300,58517133,21358753.544999998,3.1705,0,1
2017,10,all bus,31,25331595,103709738,66685361.534,3.0706,1,0
2017,10,rail,31,9634347,61718470,22527241.55,3.0706,0,1
2017,11,all bus,30,23298641,95035353,61107731.979,3.2895000000000003,1,0
2017,11,rail,30,9318345,59719636,21797667.14,3.2895000000000003,0,1
2017,12,all bus,31,22176563,90962299,58488758.257,3.1405,1,0
2017,12,rail,31,9173574,58949959,21516735.035,3.1405,0,1
2018,1,all bus,31,22675482,93802239,60314839.677,3.3120000000000003,1,0
2018,1,rail,31,9465194,60587604,22114475.46,3.3120000000000003,0,1
2018,2,all bus,28,21958972,89930528,57825329.504,3.4645,1,0
2018,2,rail,28,8458032,54017263,19716300.995,3.4645,0,1
2018,3,all bus,31,23214316,96031293,61748121.399000004,3.50725,1,0
2018,3,rail,31,9157324,58516300,21358449.5,3.50725,0,1
2018,4,all bus,30,23331877,96162423,61832437.989,3.5940000000000003,1,0
2018,4,rail,30,8715000,55722442,20338691.33,3.5940000000000003,0,1
2018,5,all bus,31,24198091,99564516,64019983.788,3.6395,1,0
2018,5,rail,31,9063836,57885731,21128291.815,3.6395,0,1
2018,6,all bus,30,22691252,94721753,60906087.179000005,3.60525,1,0
2018,6,rail,30,8850125,56540566,20637306.59,3.60525,0,1
2018,7,all bus,31,22105750,93895476,60374791.068,3.5206,1,0
2018,7,rail,31,8930799,58697871,21424722.915,3.5206,0,1
2018,8,all bus,31,24128752,100644109,64714162.087000005,3.47825,1,0
2018,8,rail,31,9281648,60888241,22224207.965,3.47825,0,1
2018,9,all bus,30,22965413,95216929,61224485.347,3.512,1,0
2018,9,rail,30,8582641,56392839,20583386.235,3.512,0,1
2018,10,all bus,31,25080291,103469372,66530806.196,3.7062,1,0
2018,10,rail,31,9458742,62068188,22654888.62,3.7062,0,1
2018,11,all bus,30,22438608,92664323,59583159.689,3.55225,1,0
2018,11,rail,30,9005536,59253774,21627627.509999998,3.55225,0,1
2018,12,all bus,31,20988857,87041054,55967397.722,3.274,1,0
2018,12,rail,31,9048648,59650966,21772602.59,3.274,0,1
2019,1,all bus,31,21263765,89331543,57440182.149000004,3.134,1,0
2019,1,rail,31,9310633,61226780,22347774.7,3.134,0,1
2019,2,all bus,28,20883716,89026316,57243921.188,3.16825,1,0
2019,2,rail,28,7620252,49260466,17980070.09,3.16825,0,1
2019,3,all bus,31,23562034,100335472,64515708.496,3.2625,1,0
2019,3,rail,31,8193412,53112677,19386127.105,3.2625,0,1
2019,4,all bus,30,23691650,101114800,65016816.4,3.8342,1,0
2019,4,rail,30,8061524,52040036,18994613.14,3.8342,0,1
2019,5,all bus,31,24351954,103155908,66329248.844000004,3.90875,1,0
2019,5,rail,31,8083937,52163130,19039542.45,3.90875,0,1
2019,6,all bus,30,22286620,93158155,59900693.665,3.68025,1,0
2019,6,rail,30,7151870,45666200,16668163,3.68025,0,1
2019,7,all bus,31,23735873,104147063,66966561.509,3.5742,1,0
2019,7,rail,31,7380609,46997992,17154267.08,3.5742,0,1
2019,8,all bus,31,24649209,106872870,68719255.41,3.45225,1,0
2019,8,rail,31,7280442,46370410,16925199.65,3.45225,0,1
2019,9,all bus,30,24102718,104224202,67016161.886,3.6142,1,0
2019,9,rail,30,6886732,43775854,15978186.709999999,3.6142,0,1
2019,10,all bus,31,26065766,111837034,71911212.862,4.02225,1,0
2019,10,rail,31,7413475,46968924,17143657.259999998,4.02225,0,1
2019,11,all bus,30,21760680,90388640,58119895.52,3.85375,1,0
2019,11,rail,30,7721280,50243062,18338717.63,3.85375,0,1
2019,12,all bus,31,20954860,86267847,55470225.621,3.5298,1,0
2019,12,rail,31,8067732,52669627,19224413.855,3.5298,0,1
2020,1,all bus,31,21987685,90607933,58260900.919,3.41525,1,0
2020,1,rail,31,8509996,55611720,20298277.8,3.41525,0,1
2020,2,all bus,29,21767867,88890184,57156388.312,3.39,1,0
2020,2,rail,29,8059632,52746306,19252401.69,3.39,0,1
2020,3,all bus,31,15323805,56492598,36324740.514,3.2036000000000002,1,0
2020,3,rail,31,5194021,33969756,12398960.94,3.2036000000000002,0,1
2020,4,all bus,30,7448380,24743852,15910296.836000001,2.75575,1,0
2020,4,rail,30,2587434,16752717,6114741.705,2.75575,0,1
2020,5,all bus,31,9096081,28559688,18363879.384,2.6799999999999997,1,0
2020,5,rail,31,3007324,19504993,7119322.444999999,2.6799999999999997,0,1
2020,6,all bus,30,10679063,32440814,20859443.402,2.8766,1,0
2020,6,rail,30,3657843,23504443,8579121.695,2.8766,0,1
2020,7,all bus,31,12358264,38950765,25045341.895,3.0045,1,0
2020,7,rail,31,3524809,21154538,7721406.37,3.0045,0,1
2020,8,all bus,31,12351879,36497522,23467906.646,3.0463999999999998,1,0
2020,8,rail,31,3419779,20567669,7507199.185,3.0463999999999998,0,1
2020,9,all bus,30,12517047,37107593,23860182.299000002,3.05625,1,0
2020,9,rail,30,3512079,21116019,7707346.935,3.05625,0,1
2020,10,all bus,31,13344759,39252611,25239428.873,3.021,1,0
2020,10,rail,31,3770991,22630160,8260008.399999999,3.021,0,1
2020,11,all bus,30,12404616,36563994,23510648.142,2.9726,1,0
2020,11,rail,30,3471518,20702572,7556438.78,2.9726,0,1
2020,12,all bus,31,11892082,35251783,22666896.469,3.01,1,0
2020,12,rail,31,3203523,19139743,6986006.194999999,3.01,0,1
2021,1,all bus,31,10541528,32003138,20578017.734,3.1455,1,0
2021,1,rail,31,3018826,18060643,6592134.695,3.1455,0,1
2021,2,all bus,28,10874044,32415928,20843441.704,3.3665000000000003,1,0
2021,2,rail,28,3002600,18040001,6584600.365,3.3665000000000003,0,1
2021,3,all bus,31,12955673,38379965,24678317.495,3.6995999999999998,1,0
2021,3,rail,31,3494600,20986439,7660050.234999999,3.6995999999999998,0,1
2021,4,all bus,30,13592784,39246694,25235624.242000002,3.81325,1,0
2021,4,rail,30,3597602,21605013,7885829.745,3.81325,0,1
2021,5,all bus,31,14151624,40872010,26280702.43,3.9682,1,0
2021,5,rail,31,3738850,22474785,8203296.524999999,3.9682,0,1
2021,6,all bus,30,14797538,42580950,27379550.85,4.0735,1,0
2021,6,rail,30,4004502,24181985,8826424.525,4.0735,0,1
2021,7,all bus,31,15891209,47835762,30758394.966000002,4.15,1,0
2021,7,rail,31,4133184,23185962,8462876.129999999,4.15,0,1
2021,8,all bus,31,17189204,49982299,32138618.257,4.1894,1,0
2021,8,rail,31,4283970,23953042,8742860.33,4.1894,0,1
2021,9,all bus,30,17384550,49638683,31917673.169,4.18825,1,0
2021,9,rail,30,49638683,24887520,9083944.799999999,4.18825,0,1
2021,10,all bus,31,18279993,52518683,33769513.169,4.2787500000000005,1,0
2021,10,rail,31,4771898,26718851,9752380.615,4.2787500000000005,0,1
2021,11,all bus,30,17727232,51370377,33031152.411000002,4.4636,1,0
2021,11,rail,30,4759577,26615616,9714699.84,4.4636,0,1
2021,12,all bus,31,16473795,48021923,30878096.489,4.4725,1,0
2021,12,rail,31,4623026,25738547,9394569.655,4.4725,0,1
2022,1,all bus,NA,14290983,48280026,31044056.718000002,4.4728,1,0
2022,1,rail,NA,4475777,25005273,9126924.645,4.4728,0,1
2022,2,all bus,NA,14176356,49668288,31936709.184,4.5645,1,0
2022,2,rail,NA,4538012,25502131,9308277.815,4.5645,0,1
2022,3,all bus,NA,16637041,58626695,37696964.885,5.594250000000001,1,0
2022,3,rail,NA,5509095,30858553,11263371.844999999,5.594250000000001,0,1
2022,4,all bus,NA,16157225,57122104,36729512.872,5.623,1,0
2022,4,rail,NA,4970089,27892216,10180658.84,5.623,0,1
2022,5,all bus,NA,16918219,59213851,38074506.193,5.7486,1,0
2022,5,rail,NA,5023207,28244233,10309145.045,5.7486,0,1
2022,6,all bus,NA,16526336,58259882,37461104.126,6.157,1,0
2022,6,rail,NA,4913060,27633743,10086316.195,6.157,0,1
2022,7,all bus,NA,16019010,57732728,37122144.104,5.7745,1,0
2022,7,rail,NA,4918618,29263929,10681334.084999999,5.7745,0,1
2022,8,all bus,NA,17482624,62118811,39942395.473,5.1724,1,0
2022,8,rail,NA,5157288,30750453,11223915.344999999,5.1724,0,1
2022,9,all bus,NA,17584817,61890322,39795477.046000004,5.21575,1,0
2022,9,rail,NA,5226189,31180305,11380811.325,5.21575,0,1
2022,10,all bus,NA,18596504,64646200,41567506.6,5.7508,1,0
2022,10,rail,NA,5626682,33276467,12145910.455,5.7508,0,1
2022,11,all bus,NA,16948386,59911091,38522831.513000004,5.0315,1,0
2022,11,rail,NA,5206301,30819176,11248999.24,5.0315,0,1
2022,12,all bus,NA,16614874,59192246,38060614.178,4.2895,1,0
2022,12,rail,NA,5001677,29376251,10722331.615,4.2895,0,1
2023,1,all bus,NA,16469953,58759275,37782213.825,4.265,1,0
2023,1,rail,NA,5175891,30392694,11093333.31,4.265,0,1
2023,2,all bus,NA,16342624,57435004,36930707.572000004,4.49325,1,0
2023,2,rail,NA,5089788,29937418,10927157.57,4.49325,0,1
2023,3,all bus,NA,18114248,64212580,41288688.94,4.6935,1,0
2023,3,rail,NA,5541739,32610699,11902905.135,4.6935,0,1
2023,4,all bus,NA,18226740,64580155,41525039.665,4.66925,1,0
2023,4,rail,NA,5434555,31788523,11602810.895,4.66925,0,1
2023,5,all bus,NA,19533498,68040277,43749898.111,4.6354,1,0
2023,5,rail,NA,5631910,32909749,12012058.385,4.6354,0,1
2023,6,all bus,NA,18679084,65576326,42165577.618,4.69125,1,0
2023,6,rail,NA,5432284,31768874,11595639.01,4.69125,0,1
2023,7,all bus,NA,17913190,64426516,41426249.788,4.7352,1,0
2023,7,rail,NA,5608981,35688578,13026330.969999999,4.7352,0,1
2023,8,all bus,NA,19539621,69083909,44420953.487,5.05575,1,0
2023,8,rail,NA,5772672,36971045,13494431.424999999,5.05575,0,1
2023,9,all bus,NA,19566970,68357215,43953689.245000005,5.48125,1,0
2023,9,rail,NA,5333935,34453403,12575492.094999999,5.48125,0,1
2023,10,all bus,NA,20919709,72570592,46662890.656,5.4466,1,0
2023,10,rail,NA,5805920,37586242,13718978.33,5.4466,0,1
2023,11,all bus,NA,19171550,67000542,43081348.506000005,4.77925,1,0
2023,11,rail,NA,5225551,34106166,12448750.59,4.77925,0,1
2023,12,all bus,NA,18445490,64335320,41367610.76,4.425,1,0
2023,12,rail,NA,5112120,33348001,12172020.365,4.425,0,1
